Checkout, Pokladna
Shopping Cart, Nákupní košík
Cart, Košík
Add to Cart, Přidat do košíku
Quantity, Množství
Price, Cena
Total, Celkem
Subtotal, Mezisoučet
Tax, Daň
Shipping, Doprava
Order Total, Celková částka objednávky
Continue Shopping, Pokračovat v nákupu
Proceed to Checkout, Přejít k pokladně
Payment Information, Platební informace
Billing Information, Fakturační údaje
Shipping Information, Doručovací údaje
Same as billing address, Stejné jako fakturační adresa
Payment Method, Způsob platby
Shipping Method, Způsob dopravy
Place Order, Dokončit objednávku
Order Confirmation, Potvrzení objednávky
Order Number, Číslo objednávky
Order Summary, Shrnutí objednávky
Item, Položka
Items, Položky
Remove, Odebrat
Update Cart, Aktualizovat košík
Continue, Pokračovat
Back, Zpět
Next, Další
Apply Coupon, Použít slevový kód
Coupon Code, Slevový kód
Discount, Sleva
Free Shipping, Doprava zdarma
Express Shipping, Expresní doprava
Standard Shipping, Standardní doprava
Credit Card, Kreditní karta
PayPal, PayPal
Cash on Delivery, Dobírka
Thank you for your order!, Děkujeme za vaši objednávku!
Your order has been placed successfully, Vaše objednávka byla úspěšně dokončena
We will send you a confirmation email shortly, Brzy vám pošleme potvrzovací e-mail
Order #${orderNumber}, Objednávka č. ${orderNumber}
Thank you ${name}!, Děkujeme ${name}!
Add a note to your order, Přidat poznámku k objednávce
Special Instructions, Speciální pokyny
Gift Message, Dárkový vzkaz
The page you requested does not exist., Stránka kterou hledáte neexistuje.
404 Page Not Found, 404 - Stránka nenalezena
Continue shopping, Pokračovat v nákupu
Something went wrong with adult products display., Něco se pokazilo se zobrazením produktů pro dospělé.
You will be redirected to PayPal, Budete přesměrováni na PayPal
Error, Chyba
We are sorry. There was an error processing your payment. Your card was not charged. Please try again., Omlouváme se. Při zpracování platby došlo k chybě. Vaše karta nebyla účtována. Zkuste to prosím znovu.
