Login, Přihlášení
SIGN IN, VSTOUPIT
Email, E-mail
Password, Heslo
Create an account, Vytvořit účet
Forgot your password?, Zapomněli jste heslo?
Create A New Account, Vytvořit nový účet pro gentlemana
SIGN UP, REGISTROVAT SE
My Account, Můj účet
Order History, Historie objednávek
Account Details, Detaily účtu
Logout, Odhlásit se
Address Book, Kniha adres
Full Name, Celé jméno
First Name, Křestní jméno
Last Name, Příjmení
Phone Number, Telefonní číslo
Company, Společnost
Address Line 1, Adresa řádek 1
Address Line 2, Adresa řádek 2 (volitelné)
City, Město
Province, Kraj
Postal Code, PSČ
Country, Země
Save, Uložit
Update, Aktualizovat
Edit, Upravit
Delete, Smazat
Add New Address, Přidat novou adresu
Default Address, Výchozí adresa
Billing Address, Fakturační adresa
Shipping Address, Doručovací adresa
