Search, Hledat
Search results for "${keyword}", Výsledky hledání pro „${keyword}"
Default, Výchozí
Please select, Prosím vyberte
Name, Název
Description, Popis
Category, Kategorie
Categories, Kategorie
Product, Produkt
Products, Produkty
Home, Domů
About, O nás
Contact, Kontakt
Privacy Policy, Ochrana osobních údajů
Terms of Service, Obchodní podmínky
FAQ, Časté dotazy
Help, Nápověda
Customer Service, Zákaznický servis
Support, Podpora
Newsletter, Newsletter
Subscribe, Přihlásit se k odběru
Unsubscribe, Odhlásit se z odběru
Welcome, Vítejte
Loading..., Načítá se...
Please wait, Prosím čekejte
Submit, Odeslat
Cancel, Zrušit
Close, Zavřít
Open, Otevřít
Show, Zobrazit
Hide, Skrýt
More, Více
Less, Méně
All, Vše
None, Žádné
Yes, Ano
No, Ne
